,Model,Estimate,Std. Error,t-value,p-value
1,GAToRS_diff ~ condition,-0.3038095,0.2736074,-1.1103849,0.277
2,GAToRS_diff ~ all_participants,0.3,0.1372899,2.1851568,0.0374*
3,GAToRS_diff ~ control_group,0.4571429,0.2145694,2.1305127,0.053
4,GAToRS_diff ~ experimental_group,0.1533333,0.1726176,0.8882835,0.389
5,pre_GAToRS ~ condition,0.1,0.2319612,0.4311066,0.67
6,pre_trust_in_tech ~ condition,-0.1424603,0.2085178,-0.6832046,0.5
7,pre_risk ~ condition,0.5,0.3443772,1.4518962,0.158
8,pre_confidence ~ condition,0.4468254,0.3799465,1.176022,0.25
9,post_GAToRS ~ condition,-0.162381,0.2451101,-0.6624816,0.513
10,TOAST ~ condition,0.5074074,0.2948102,1.7211323,0.097
11,MDMT ~ condition,-0.2083333,0.4114477,-0.5063422,0.617
12,ROSAS ~ condition,0.0846561,0.257828,0.3283433,0.745
13,robot_intention ~ condition,0.8380952,0.5670237,1.4780602,0.151
14,robot_self_efficacy ~ condition,-0.0619048,0.5276735,-0.1173164,0.907
15,team_fluency ~ condition,0.2984127,0.2391767,1.2476665,0.223
16,behavioral_trust ~ condition,-0.1761905,0.1885061,-0.9346671,0.358
17,robot_mind ~ condition,0.7047619,0.6676838,1.0555325,0.301
18,synchrony ~ condition,1.84,0.4863977,3.7829127,0.0008***
19,enjoy_task ~ condition,-0.0009524,0.3298655,-0.0028872,0.998
20,control_outcome ~ condition,0.8714286,0.6449544,1.3511475,0.188
21,control_overall ~ condition,0.5142857,0.6037007,0.8518886,0.402
22,outcome_robot ~ condition,1.0666667,0.5937753,1.7964148,0.084
23,outcome_other ~ condition,-0.8,0.5558095,-1.4393422,0.162
24,robot_influence ~ condition,1.447619,0.5621707,2.5750523,0.0158*
25,robot_control ~ condition,0.9285714,0.6967965,1.3326294,0.194
26,trust_task ~ condition,0.2735009,0.1672564,1.6352194,0.114
27,trust_task_easy ~ condition,0.1794872,0.0830154,2.1620956,0.0400*
28,trust_task_medium ~ condition,0.2974359,0.2176085,1.3668395,0.183
29,trust_task_hard ~ condition,0.3333333,0.4145079,0.8041664,0.429
30,trust_task_easy_success ~ condition,0.1094017,0.0653712,1.6735464,0.106
31,trust_task_medium_success ~ condition,0.2205128,0.2709413,0.8138767,0.423
32,trust_task_hard_success ~ condition,0.2205128,0.3320046,0.664186,0.512
33,trust_task_easy_fail ~ condition,0.2179487,0.1445848,1.5074108,0.144
34,trust_task_medium_fail ~ condition,0.2576923,0.2709609,0.9510313,0.35
35,trust_task_hard_fail ~ condition,0.552381,0.3649488,1.5135848,0.142
