"start_date","end_date","duration_in_seconds","sub_id","impression_robot","impression_exp","feel_robot","feel_speed","focus","decision","study","feedback","condition"
"2024-11-05 17:34:50","2024-11-05 17:39:06","255","23","i thought it was really cool","enjoyed it and would do another one like it. I think when the robot moved it helped me to move","I enjoyed it and think it definitely helped me even though it was doing different movement and was behind or ahead of me","different then mine","when i picked up the ball i would look down confirm picking up right ball but mainly focusing on the robot","honestly i had no clue but since the task i did was easy and robot did a good job i said 100% for easy. for hard i was doing 100 but then it failed so i did lower, for medium i did in between but i really wasnt sure","seeing how much people trust robotic arms and how well a robotic arm can move","No",0
"2024-11-08 17:37:39","2024-11-08 17:44:13","393","33","I liked it. Coming into this im unfamiliar with robotic arms, so didnt know what to expect, overall it was chill. wasnt scared coming into it, saw it as another arm doing the motions too","it was good at expanding how users feel about robotic arms since a requirement was to be unfamiliar with it.","it was good, advantageous that it helped my own pacing becaus i wanted to be faster with 321, i assumed the robot would span over the time appropriately so if it was wrong i wouldve had that automation bias. I would rely on it to do the same thing again and again","it felt comfortable. only could attribute feeling scare if it was moving fast or moving towards me because i wouldnt feel in control or like the robot was in control. thought it was good that we mirrored each other and the task was appropriate","focused on the robot because with the pacing i noticed if i was going faster than the robot","honestly, the first round of questions was when i just thought of my experience, could i do that again and then i just repeated that whether it succeeded or failed didnt change my sense of trust in the arm, i was visualizing what the obstacle would look like, i thought maybe half the time it could do the hard obstacle and other half maybe not.","reliability and trust we have in technology and any blame we might attribute with failures in tech. gauging how people feel about robotic arms. ive never worked with one or knew about it prior to this study so looking at future implementation of the robot and user based feelings","no you guys made it really clear. im more wondering if i was supposed to have more thoughts going into this. don't have too many questions. feltbad that you had to sit here while i went through the survey",1
"2024-11-12 18:13:52","2024-11-12 18:16:09","137","13","Liked it","Kind of cool how it was moving with her","Scared that it wouldn't complete task, but when it did, she trusted it","A little delayed, but still completing task","Robot","Based on the sound","If robot arm can do things that a real arm can do","no",1
"2024-11-13 14:15:34","2024-11-13 14:22:02","388","25","kind of neutral about it but liked it more than not liked it. Nothing bad about it.","Fun, doesnt know a lot about robotic arms so it is good it is being researched. Thinks it will be a big part of the future. Thinks the study will be helpful for robotic research.","Good. Did not think it was going to do anything weird. Did what it was supposed to do.","Good however she thought it changed speeds a couple times, and it would be at different speeds each time it preformed a task.","More the robot but not by a lot.","Based on what she had seen during the ball moving task and guessing what it would do after that.","Thought it was about how people feel about robotic arms before and after interacting with them. Also how people feel about them after given some information about them and working with them.","It was fun to do!",1
"2024-11-14 09:31:12","2024-11-14 09:34:34","201","20","I liked it i thought it was fun","it was funny i was trying not to laugh it was interesting i didnt know if it was being controlled or doing it on its own","it was slow i felt that i was doing a better job then the robot","slow","the robot, sometimes i synced up with the robot like doing what it was doing instead of listening to the directions","i went off how i felt about what the robot can do","testing to see how someone feels about robots abilities and capacities to do things","no you guys did a great job",0
"2024-11-14 17:35:27","2024-11-14 17:38:24","176","6","It was fine, no strong opinion","Learned a lot about how it moved, robot is a lot more predictable than he thought","Fine, did its part well and he tried to focus on his part","Initially felt out of sync--robot was more in time with cues","Equal on both","Changed trust levels based on feedback","Interaction between humans and robotic arms","n/a",1
"2024-11-15 11:15:39","2024-11-15 11:19:12","212","16","Neutral. Has some curiosity about it.","A little bit interesting","not too much thoughts but sometimes felt that she could rely on the robot","Too slow","Both","Based on the results and also the three levels of the task to help her make decisions.","The trust between robotic arm and humans. Also, how humans think about robotic arms and the potential of robotic arm have on emotions and how it can be used in more industrial areas.","Loved the time we control, and every instruction is very clear. The task is a little boring but the time is not to bad so it is not that boring.",1
"2024-11-15 13:14:39","2024-11-15 13:20:36","356","10","seemed fun idk. think it was able to do its job alright","idk. idk if i know what to think of it. havent interacted w robot bf so novel. kept getting asked how much trust in arm which was also a new thing to think about","felt good. in beginning was wearfy of it but it was able to perfrom its task successfully so felt better ab it","noticed that itw as sometimes not going at my speed. which was a little bit interesting. made her weary at beginning. still completed what it had to do though it was different","i think robot especially when I got the ball moving task down. didn't have to think ab task as much","at first felt like shes seen the robot complete the easy task. why not other ones? got messages and became skeptical of harder tasks when saw it failed","trust in robot arms. human-robot interactions","don't think so",0
"2024-11-19 12:01:03","2024-11-19 12:05:00","237","40","I liked it it was a little strange at first because ive never interacted with a robot but it was predictable so i wasnt afraid of it","i thought it was interesting especially betting on the robot and the financial compensation part","I felt good about it, like it was going to do what it was supposed to do","I thought it was interesting when we were out of sync and i had to think more about my movements but overall it was ok","focused more on the robot but when we were out of sync i focused on the ball moving task a bit more","mostly based on what i saw in the first experiment and how it worked well and always got the ball in the box","peoples trust in robots and willingness to handle tasks.",NA,0
"2024-11-19 18:33:59","2024-11-19 18:36:53","174","11","Pretty cool how it moves smoothly--never seen one in person","Liked it--good way to see interaction and teamwork","Ok about it--used to scare her before but now it doesn't seem as bad","slower than she expected--thought it would be moving more at her rhythm","Robot","Thought about movies and how they acted in that","Understanding how humans felt about robotic arms, especially with no prior knowledge","n/a",0
