participant_number,obstacle 1,obstacle 2,obstacle 3,obstacle 4,obstacle 5,obstacle 6,obstacle 7,obstacle 8,obstacle 9,obstacle 10,obstacle 11,obstacle 12,obstacle 13,obstacle 14,obstacle 15,obstacle 16,obstacle 17,obstacle 18,obstacle 19,obstacle 20,obstacle 21,obstacle 22,obstacle 23,obstacle 24,obstacle 25,obstacle 26,obstacle 27,obstacle 28,obstacle 29,obstacle 30
98,2,2,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2
100,4,4,4,5,3,4,4,5,2,4,5,3,3,5,3,4,4,3,4,3,3,4,3,3,4,3,4,4,3,3
23,5,5,3,5,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,4,2,4,4,3,5,4,5,5,4,2
33,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3
13,5,5,5,5,5,4,5,5,4,5,3,3,5,5,4,5,5,4,3,2,0,5,4,4,5,4,2,5,4,2
25,5,5,4,5,4,4,5,4,3,5,5,4,5,5,4,5,5,4,5,4,4,5,5,4,5,5,4,5,4,4
20,4,3,2,4,3,3,5,4,2,4,5,5,5,4,4,5,5,4,5,3,3,4,3,2,4,4,3,4,3,2
6,5,5,3,5,3,1,5,4,3,5,5,4,5,5,5,5,4,4,5,3,2,5,3,2,5,3,2,5,3,2
16,5,4,3,5,5,3,5,4,2,5,4,3,5,5,5,5,5,5,5,5,3,5,5,4,5,5,4,5,5,4
10,5,4,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,4,5,3,3,5,4,2,5,4,3,5,4,3
40,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3
11,5,4,4,5,4,3,4,3,2,5,3,4,4,1,4,5,4,3,4,2,3,4,4,2,5,3,3,4,3,3
15,5,4,2,5,4,2,5,4,2,5,5,4,5,5,4,5,5,0,5,5,2,5,5,0,5,4,2,5,5,4
38,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4
35,5,4,2,5,4,3,5,4,3,5,4,3,5,4,3,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2
1,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4
32,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,5,5,4,4,5,4,4,5,4,4
37,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,3,4,4,2,3,4,1,3,2,1,5,5,1
36,5,4,3,5,4,4,5,5,4,5,5,3,5,4,5,4,4,4,5,4,3,5,4,4,5,5,4,4,3,3
43,5,3,3,4,3,2,3,4,1,5,3,2,5,3,0,4,2,5,5,3,2,4,4,2,5,5,5,3,2,0
39,5,4,4,5,4,3,5,4,4,4,3,2,5,4,4,5,4,3,5,4,4,5,2,4,5,4,4,5,4,4
18,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4
7,5,4,3,5,4,2,5,4,2,5,3,3,5,4,3,5,4,2,5,3,3,5,4,4,5,5,4,5,4,3
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
42,5,3,1,5,3,1,5,4,1,5,5,2,5,3,2,5,4,2,5,5,2,5,3,1,4,4,1,4,3,1
4,4,3,1,5,3,1,5,4,1,5,4,2,5,4,3,5,5,3,5,5,2,5,5,2,5,5,2,5,5,2
60,5,4,3,5,4,2,5,4,2,5,4,4,5,3,4,5,3,2,4,2,3,5,4,3,5,5,1,4,4,1
45,5,4,3,5,4,4,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3
46,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
58,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5
55,5,4,2,5,4,2,5,4,3,5,4,3,5,4,3,5,4,3,4,4,2,4,3,2,4,3,2,4,3,2
