StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sub_id,time_instructions_3_First Click,time_instructions_3_Last Click,time_instructions_3_Page Submit,time_instructions_3_Click Count,control_outcome,control_overall,outcome_robot,outcome_other,Distracting _1,Distracting _2,influence,robot_control,response_bias_3,synchrony_1,synchrony_2,synchrony_3,synchrony_4,synchrony_5,enjoy_task_1,enjoy_task_2,enjoy_task_3,enjoy_task_4,enjoy_task_5,feedback_3_2,feedback_3_4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In the COMPUTER TASK, how much CONTROL do you feel you had over the outcome?","In the COMPUTER TASK, how much CONTROL did you experience overall?","In the COMPUTER TASK, to what extent was the outcome due to the robotic arm?","In the COMPUTER TASK, to what extent was the outcome due to other circumstances besides the robotic arm?","The following statements refer to the COMPUTER TASK you just completed with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I did the task better than other participants.","The following statements refer to the COMPUTER TASK you just completed with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I know a lot more about the robotic arm after doing the task.","In the COMPUTER TASK, how much INFLUENCE did the robotic arm have on the outcome?","In the COMPUTER TASK, how much CONTROL did the robotic arm have on the outcome?",What did you think this research was about?,"The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - The robotic arm and I were moving in synchrony.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - The robotic arm moved at the same pace as me.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I felt in sync with the robotic arm.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I felt out of sync with the robotic arm.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - The robotic arm was not in synchrony with me.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I enjoyed completing the ball moving task with the robotic arm.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - Completing the ball moving task with the robotic arm was fun.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - Completing the ball moving task with the robotic arm was pleasant.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I did not enjoy the ball moving task with the robotic arm.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - Completing the ball moving task with the robotic arm was unpleasant.",Please provide any thoughts about your experience interacting with the robotic arm.,Did you find yourself focusing on the robotic arm or the ball moving task?
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_FIRST_CLICK""}","{""ImportId"":""QID11_LAST_CLICK""}","{""ImportId"":""QID11_PAGE_SUBMIT""}","{""ImportId"":""QID11_CLICK_COUNT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID20""}"
2024-09-27 10:08:09,2024-09-27 10:10:19,IP Address,72.33.2.132,100,129,True,2024-09-27 10:10:19,R_3bN93BRtTaUlT4J,,,,,43.0812,-89.3845,anonymous,EN,0,5.343,6.389,6.399,2,6,5,"Completely
7",3,Disagree,Neutral,"Complete influence
7","Complete control
7",j,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Neutral,f,mostly the ball moving task
2024-10-03 17:39:39,2024-10-03 17:47:32,IP Address,72.33.2.132,100,473,True,2024-10-03 17:47:33,R_625Zshl6CbQiy0d,,,,,43.064,-89.3965,anonymous,EN,0,34.151,34.151,34.156,1,6,4,4,4,Neutral,Neutral,4,4,IF robot is as capable as human,Somewhat agree,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Neutral,The delay between the each action the robotic arm played is relatively long compared with human reaction time. And sometimes robot can not localize the ball's position very well.,mostly the robotic arm
2024-10-04 12:53:22,2024-10-04 12:57:42,IP Address,72.33.2.132,100,259,True,2024-10-04 12:57:42,R_5r2C4lI7qusrK3C,,,,,43.064,-89.3965,anonymous,EN,98,73.204,73.204,73.213,1,5,4,5,5,Neutral,Disagree,5,5,idk,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,fasjhd,mostly the ball moving task
2024-10-04 17:03:22,2024-10-04 17:10:38,IP Address,72.33.2.132,100,435,True,2024-10-04 17:10:38,R_5Jq4FogTqgBKveN,,,,,43.064,-89.3965,anonymous,EN,99,37.066,37.066,37.073,1,2,"No Control
1","Completely
7",3,Neutral,Strongly disagree,6,6,"I thought it was about the synchrony with the robot and how much that affected your trust and compassion towards it. But, since there were no more trials with differing syncs I don't know. The voice also threw me off a lot since it was not consistent, so I did not put any blame of being out of sync on the robot. I still think it could be that first idea, though, actually, now that I think about it again.",Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,"I liked the arm. It seemed like it was doing its best, even though I'd imagine the code was doing most of the work. Not that different from people",both equally
2024-10-12 12:50:19,2024-10-12 12:52:23,Survey Preview,,100,124,True,2024-10-12 12:52:24,R_1KZLr79ftw7Rj98,,,,,43.064,-89.3965,preview,EN,0,4.607,4.607,4.614,1,2,2,6,3,Somewhat disagree,Somewhat disagree,6,6,O,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Somewhat agree,Neutral,Somewhat disagree,,mostly the robotic arm
2024-10-14 10:18:29,2024-10-14 10:21:54,IP Address,72.33.2.91,100,204,True,2024-10-14 10:21:54,R_3ERmpYjrHh39x8l,,,,,43.064,-89.3965,anonymous,EN,98,123.266,123.266,123.274,1,4,4,3,4,Neutral,Neutral,4,4,f,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,i,mostly the robotic arm
2024-10-18 14:17:34,2024-10-18 15:20:02,IP Address,72.33.2.91,100,3747,True,2024-10-18 15:20:03,R_7f8a0MVAam3AnHy,,,,,43.0812,-89.3845,anonymous,EN,100,7.578,7.578,7.585,1,2,3,4,5,Neutral,Strongly disagree,3,3,How people are afraid of robotic technology they do not understand and how that can lead to emotionalizing the robot or feeling emotional in either valence,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Disagree,"I did not completely understand how i was interacting with the robotic arm during the computer task and did not understand that we were working on a team
",both equally
2024-10-28 18:38:23,2024-10-28 18:39:58,Survey Preview,,100,95,True,2024-10-28 18:39:59,R_7NN5vwfrrk6ZQqZ,,,,,43.0812,-89.3845,preview,EN,0,8.23,8.23,8.237,1,4,4,4,4,Neutral,Neutral,4,4,x,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,x,both equally
