StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sub_id,time_instructions_2_First Click,time_instructions_2_Last Click,time_instructions_2_Page Submit,time_instructions_2_Click Count,toast_1_1,toast_1_2,toast_1_3,toast_1_4,toast_2_1,toast_2_2,toast_2_3,toast_3_1,toast_3_2,toast_3_3,mdmt_1_1,mdmt_1_2,mdmt_1_3,mdmt_1_4,mdmt_2_1,mdmt_2_2,mdmt_2_3,mdmt_2_4,mdmt_3_1,mdmt_3_2,mdmt_3_3,mdmt_3_4,mdmt_4_1,mdmt_4_2,mdmt_4_3,mdmt_4_4,rosas_1_1,rosas_1_2,rosas_1_3,rosas_1_4,rosas_1_5,rosas_1_6,rosas_2_1,rosas_2_2,rosas_2_3,rosas_2_4,rosas_2_5,rosas_2_6,rosas_3_1,rosas_3_2,rosas_3_3,rosas_3_4,rosas_3_5,rosas_3_6,behavioral_trust,gators_scale_4_1,gators_scale_4_2,gators_scale_4_3,gators_scale_4_4,gators_scale_4_5,Distract_extra_q_1,Distract_extra_q_2,Distract_extra_q_3,Distract_extra_q_4,gators_scale_2_1,gators_scale_2_2,gators_scale_2_3,gators_scale_2_4,gators_scale_2_5,intentionality _1,intentionality _2,mind,gators_scale_1_1,gators_scale_1_2,gators_scale_1_3,gators_scale_1_4,gators_scale_1_5,gators_scale_1_6,belief,self_efficacy_influ_1,self_efficacy_influ_2,self_efficacy_influ_3,gators_scale_3_1,gators_scale_3_2,gators_scale_3_3,gators_scale_3_4,gators_scale_3_5,gators_scale_3_6,fluency_2_1,fluency_2_2,fluency_2_3,fluency_1_1,fluency_1_2,fluency_1_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH.



Indicate the extent to which you agree or disagree. - I understand what the robotic arm should do.","Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH.



Indicate the extent to which you agree or disagree. - The robotic arm helped me achieve a goal to move toy balls in this task.","Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH.



Indicate the extent to which you agree or disagree. - I understand the limitations of the robotic arm.","Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH.



Indicate the extent to which you agree or disagree. - I understand the capabilities of the robotic arm.","Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH.

Indicate the extent to which you agree or disagree with each statement. - The robotic arm performs consistently.","Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH.

Indicate the extent to which you agree or disagree with each statement. - I feel comfortable relying on information provided by the robotic arm.","Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH.

Indicate the extent to which you agree or disagree with each statement. - I am rarely surprised by how the robotic arm responds.","Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH.



Indicate the extent to which you agree or disagree with each statement. - The robotic arm performs the way it should.","Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH.



Indicate the extent to which you agree or disagree with each statement. - I understand how the robotic arm executes tasks.","Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH.



Indicate the extent to which you agree or disagree with each statement. - Choose disagree for this statement.","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Reliable","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Sincere","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Capable","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Ethical","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Predictable","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Genuine","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Skilled","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Respectable","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - You can count on the robotic arm","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Candid","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Competent","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Principled","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Consistent","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Authentic","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Meticulous","Please rate the ROBOTIC ARM YOU JUST WORKED WITH using the scale below.



If a particular item does not seem to fit the robotic arm in the situation, please select the option that says “Does Not Fit.” - Has Integrity","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Happy","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Capable","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Scary","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Feeling","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Responsive","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Strange","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Social","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Interactive","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Awkward","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Organic","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Reliable","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Dangerous","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Compassionate","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Competent","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Awful","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Emotional","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Knowledgable","Using the scale provided, how closely are the words below associated with the ROBOTIC ARM YOU JUST WORKED WITH? - Aggressive","Indicate the extent to which you agree or disagree with the following statement about the ROBOTIC ARM YOU JUST WORKED WITH.

If invited, I would work with the robotic arm on another task.","Please answer the following questions about your attitudes towards ROBOTIC ARMS - If robotic arms expressed emotions, I would be able to befriend them.",Please answer the following questions about your attitudes towards ROBOTIC ARMS - I don’t want a robotic arm to touch me.,"Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms are a good thing for society, because they help people.",Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms are one of the areas of technology that need to be closely monitored.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Unregulated use of robotic arms can lead to societal upheavals.,Indicate the extent to which you agree or disagree with the following statements about the ROBOTIC ARM YOU JUST WORKED WITH. - This task helped me understand how robotic arms work.,Indicate the extent to which you agree or disagree with the following statements about the ROBOTIC ARM YOU JUST WORKED WITH. - Robotic arms are powerful.,Indicate the extent to which you agree or disagree with the following statements about the ROBOTIC ARM YOU JUST WORKED WITH. - The robotic arm's movements were predictable.,Indicate the extent to which you agree or disagree with the following statements about the ROBOTIC ARM YOU JUST WORKED WITH. - I knew the robot would do the task successfully.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I can trust a robotic arm.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I fear that a robotic arm would not understand my commands.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms can make life easier.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Widespread use of robotic arms is going to take away jobs from people.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms scare me.,Indicate the extent to which you agree or disagree with the following statements about the ROBOTIC ARM YOU JUST WORKED WITH. - The robotic arm acts intentionally.,Indicate the extent to which you agree or disagree with the following statements about the ROBOTIC ARM YOU JUST WORKED WITH. - The robotic arm decides actively when to respond.,Rate the extent to which the ROBOTIC ARM YOU JUST WORKED WITH appears to have a MIND OF ITS OWN.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I can trust persons and organizations related to the development of robotic arms.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I would feel uneasy if I was given a job where I had to use robotic arms.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms are necessary because they can do jobs that are too hard or too dangerous for people.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Select strongly agree for this question.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms may make us even lazier.,"Please answer the following questions about your attitudes towards ROBOTIC ARMS - Persons and organizations related to the development of robotic arms will consider the needs, thoughts and feelings of their users.",Rate the extent to which the ROBOTIC ARM YOU JUST WORKED WITH appears to behave as if it has its OWN BELIEFS AND DESIRES.,"Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH



Indicate the extent to which you agree or disagree with each statement. - The robotic arm is responsive to my actions.","Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH



Indicate the extent to which you agree or disagree with each statement. - My actions influence the behavior of the robotic arm.","Read each statement carefully about the ROBOTIC ARM YOU JUST WORKED WITH



Indicate the extent to which you agree or disagree with each statement. - I have some agency over the actions of the robotic arm.",Please answer the following questions about your attitudes towards ROBOTIC ARMS - I would feel relaxed interacting with a robotic arm.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I would feel very nervous just being around a robotic arm.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Assigning routine tasks to robotic arms lets people do more meaningful tasks.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I am afraid that robotic arms will encourage less interaction between humans.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Select strongly disagree for this question.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Dangerous tasks should primarily be given to robotic arms.,"The following statements refer to the BALL MOVING TASK you just completed with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - The robotic arm did its part successfully.","The following statements refer to the BALL MOVING TASK you just completed with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - The human-robot team did well on the task.","The following statements refer to the BALL MOVING TASK you just completed with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - The human-robot team felt well tuned.","The following statements refer to the BALL MOVING TASK you just completed with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I trusted the robotic arm to do the right thing at the right time.","The following statements refer to the BALL MOVING TASK you just completed with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I felt like the robotic arm was committed to the success of the team.","The following statements refer to the BALL MOVING TASK you just completed with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - The robotic arm performed well as part of the team."
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID23_6""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID24_7""}","{""ImportId"":""QID24_8""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID25_5""}","{""ImportId"":""QID25_6""}","{""ImportId"":""QID25_7""}","{""ImportId"":""QID25_8""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID14""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_6""}","{""ImportId"":""QID27_9""}","{""ImportId"":""QID27_10""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID16""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_6""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID17""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_6""}","{""ImportId"":""QID26_9""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID31_6""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}"
2024-09-27 09:51:09,2024-09-27 09:55:39,0,72.33.2.132,100,269,1,2024-09-27 09:55:40,R_1rINusHDngB6PZV,,,,,43.0812,-89.3845,anonymous,EN,0,27.899,27.899,27.903,1,2,2,1,2,3,2,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,1,2,2,2,2,2,3,,,,,,,,,,,,,,,3,2,4,,,,,,,5,4,,,,,,,,,,,,,,
2024-10-03 17:17:35,2024-10-03 17:27:14,0,72.33.2.132,100,579,1,2024-10-03 17:27:15,R_1BRYbyhpBFhyP8R,,,,,43.064,-89.3965,anonymous,EN,0,157.095,157.095,157.098,1,6,2,6,6,3,4,4,6,6,2,5,5,8,5,7,5,7,5,4,5,5,6,5,5,5,6,5,6,2,4,4,2,3,3,3,2,4,5,3,5,3,3,3,2,5,,,,,,,,,,,,,,,5,4,3,,,,,,,2,2,,,,,,,,,,,,,,
2024-10-04 12:36:12,2024-10-04 12:43:16,0,72.33.2.132,100,424,1,2024-10-04 12:43:17,R_1RpBOlUt2XSSolQ,,,,,43.064,-89.3965,anonymous,EN,98,172.493,172.493,172.497,1,5,5,5,5,4,5,4,3,4,3,6,5,6,5,4,5,5,4,4,4,5,5,5,5,4,4,5,5,4,5,5,4,6,5,6,6,6,6,5,6,6,6,6,6,6,,,,,,,,,,,,,,,6,6,7,,,,,,,6,5,,,,,,,,,,,,,,
2024-10-04 16:47:08,2024-10-04 16:55:03,0,72.33.2.132,100,474,1,2024-10-04 16:55:04,R_31ovwWPNLVZemhJ,,,,,43.064,-89.3965,anonymous,EN,99,4.202,6.015,6.019,2,5,2,6,5,4,2,4,4,7,2,8,9,8,8,5,7,5,7,8,7,6,7,8,8,5,9,2,7,2,2,8,3,2,4,6,2,7,2,1,7,1,5,1,2,7,,,,,,,,,,,,,,,4,2,1,,,,,,,1,1,,,,,,,,,,,,,,
2024-10-12 12:39:11,2024-10-12 12:43:43,1,,100,272,1,2024-10-12 12:43:44,R_1Yce7mUXk8EEJpk,,,,,43.064,-89.3965,preview,EN,0,4.231,4.231,4.239,1,4,4,4,4,6,4,6,6,5,2,7,7,7,9,7,9,7,9,7,9,7,7,7,9,7,9,5,7,4,4,7,4,4,7,6,4,7,4,2,7,2,2,2,2,6,3,3,5,5,4,6,3,6,6,5,3,5,5,3,4,6,4,5,3,6,7,3,3,3,6,6,4,5,2,6,4,1,5,,,,,,
2024-10-14 10:01:27,2024-10-14 10:05:38,0,72.33.2.91,100,250,1,2024-10-14 10:05:38,R_5HA1EQoWm2u1s4v,,,,,43.064,-89.3965,anonymous,EN,98,50.878,50.878,50.889,1,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,9,9,9,9,9,9,1,1,1,1,1,1,4,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,
2024-10-18 14:17:23,2024-10-18 15:05:05,0,72.33.2.91,100,2861,1,2024-10-18 15:05:06,R_5o21CgVLVRoiAQZ,,,,,43.0812,-89.3845,anonymous,EN,100,15.072,15.072,15.078,1,6,6,6,6,2,5,5,3,6,2,3,2,6,6,3,3,6,4,2,3,3,4,2,4,8,3,1,8,1,1,5,2,1,6,2,2,3,2,1,4,1,1,3,1,5,2,4,6,5,6,5,6,5,3,3,3,6,5,2,3,2,3,5,3,6,7,2,5,1,3,2,6,5,2,6,3,1,5,,,,,,
2024-11-01 15:11:11,2024-11-01 15:16:38,1,,100,327,1,2024-11-01 15:16:39,R_7tmMw41Po8b3RfG,,,,,43.0812,-89.3845,preview,EN,0,9.157,9.157,9.168,1,7,6,6,7,7,6,7,7,7,7,9,8,9,9,6,8,8,8,8,8,8,8,8,8,7,8,9,9,9,9,9,9,9,9,9,9,9,9,8,9,8,9,8,9,7,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6
