sub_id,time_instructions_3_First Click,time_instructions_3_Last Click,time_instructions_3_Page Submit,time_instructions_3_Click Count,control_outcome,control_overall,outcome_robot,outcome_other,Distracting _1,Distracting _2,influence,robot_control,response_bias_3,synchrony_1,synchrony_2,synchrony_3,synchrony_4,synchrony_5,enjoy_task_1,enjoy_task_2,enjoy_task_3,enjoy_task_4,enjoy_task_5,feedback_3_2,feedback_3_4
Participant ID,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In the COMPUTER TASK, how much CONTROL do you feel you had over the outcome?","In the COMPUTER TASK, how much CONTROL did you experience overall?","In the COMPUTER TASK, to what extent was the outcome due to the robotic arm?","In the COMPUTER TASK, to what extent was the outcome due to other circumstances besides the robotic arm?","The following statements refer to the COMPUTER TASK you just completed with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I did the task better than other participants.","The following statements refer to the COMPUTER TASK you just completed with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I know a lot more about the robotic arm after doing the task.","In the COMPUTER TASK, how much INFLUENCE did the robotic arm have on the outcome?","In the COMPUTER TASK, how much CONTROL did the robotic arm have on the outcome?",What did you think this research was about?,"The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - The robotic arm and I were moving in synchrony.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - The robotic arm moved at the same pace as me.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I felt in sync with the robotic arm.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I felt out of sync with the robotic arm.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - The robotic arm was not in synchrony with me.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I enjoyed completing the ball moving task with the robotic arm.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - Completing the ball moving task with the robotic arm was fun.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - Completing the ball moving task with the robotic arm was pleasant.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - I did not enjoy the ball moving task with the robotic arm.","The following statements refer to the BALL MOVING TASK you completed earlier with the robotic arm.



Please read the statements carefully and choose how much you agree or disagree. - Completing the ball moving task with the robotic arm was unpleasant.",Please provide any thoughts about your experience interacting with the robotic arm.,Did you find yourself focusing on the robotic arm or the ball moving task?
"{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_FIRST_CLICK""}","{""ImportId"":""QID11_LAST_CLICK""}","{""ImportId"":""QID11_PAGE_SUBMIT""}","{""ImportId"":""QID11_CLICK_COUNT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID20""}"
23,33.328,33.328,33.332,1,1,1,4,3,3,3,5,5,How well a robotic arm can move and if it does the correct movement,1,1,1,7,7,7,7,7,1,1,"I would do it again, it was really fascinating",1
33,36.012,36.012,36.017,1,1,2,7,7,3,1,5,1,"I think this research was about human users' level of trust in the capabilities of robotics arms, as well as how much ""fault"" we may attribute to a robotic arm as compared to outside factors. I think that the research may also try to draw correlations between the level of reliability that humans attribute to robotic arms (e.g., how much trust we had that the robotic arm would do its assigned task in the ball task) as compared to the level of trust/emotion we ourselves hold about robots (e.g., scale of ""Strongly Disagree"" to ""Strongly Agree"" about feeling uncomfortable working with a robotic arm).",6,6,6,5,2,7,6,6,2,1,"I think it was advantageous to mirror the robotic arm's pacing with my own pacing during the ""Go, 3, 2, 1,"" countdown transitioning to the ball and to the box. I will note that I automatically assumed the robotic arm's pacing would be proportional to how much time was remaining (e.g., that it would cross 1/3 the distance to the ball between ""Go"" and ""3""). In addition, the only time I felt out of sync with the robotic arm was at moments of ""Drop,"" in which I felt that I verbally heard and responded faster than the robotic arm's coding.",1
13,43.199,43.199,43.201,1,7,7,4,2,4,4,4,1,Seeing if robotic arms are capable of doing the same as a real arm,5,3,5,3,3,4,6,4,3,4,I thought it was pretty cool seeing how a robotic arm can do similar things as a real arm,1
25,5.436,5.436,5.441,1,1,1,7,4,4,2,6,6,"How people would feel about the robotic arm before interacting with it and after, as well as how they would interact after certain knowledge was given to them.",6,2,6,2,6,6,6,5,1,1,It was cool to see how it worked and moved and I like that I know more about it now.,1
20,32.265,32.265,32.271,1,1,1,7,7,3,3,7,5,testing how people think about robots in general and what they are capable of.,2,1,2,7,6,7,7,7,1,1,"I thought it was fun and also weird. I wondered what made the robot arm move, was it code or was it making decisions for itself?",1
6,6.977,6.977,6.982,1,3,3,7,5,4,6,7,5,Study of human interaction with robotic arms,5,3,3,5,5,6,6,7,2,1,Completely predictable motion of the robotic arm for fixed and easy tasks,3
16,24.088,24.088,24.092,1,5,4,4,3,4,6,4,4,About the human's trust about the robotic arm and whether believe there is a potential for the robotic arm to have emotion and more influence on human beings,3,3,3,5,5,5,4,5,2,2,may have a higher expectation on the task that robotic arm can do ,3
10,6.041,6.041,6.047,1,1,2,7,4,4,3,5,6,I think this research might be about levels of trust people have in robotic arms.,3,2,3,5,5,6,5,5,1,2,I was worried at times about if the robotic arm would be able to move the balls like it was meant to especially if it lagged behind my pace. I think that the more we did the less worried I got/the more I felt I could rely on it to do its job. ,1
