StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sub_id,impression_robot,impression_exp,feel_robot,feel_speed,focus,decision,study,feedback
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,What was your general impression of the robot? (e.g. did you like or dislike it),What was your general impression of this experiment?,How did you feel working with the robot arm?,How did you feel about the speed of the robotic arm?,Did you find yourself focusing on the robot or the ball moving task?,How did you make decisions regarding the obstacle course task?,What did you think this study was about?,Do you have any other thoughts or feedback you would like to share with the research team?
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}"
2024-09-27 10:10:39,2024-09-27 10:16:57,0,72.33.2.132,100,377,1,2024-09-27 10:16:57,R_5P6AG6SDfz0Sfi0,,,,,43.0812,-89.3845,anonymous,EN,,LIked it,"""fine""",fine,slow,"both, more robot","trusted for easy tasks, less for others",how u feel about doing stuff with robots,
2024-09-27 18:11:57,2024-09-27 18:16:50,0,72.33.2.132,100,292,1,2024-09-27 18:16:50,R_3iCixw9X4CN5Oml,,,,,43.0812,-89.3845,anonymous,EN,,found it weird,it was fine,felt fine,found it slow,the robot,"thought it would do all the easy ones correct because proved earlier, not hard",feelings working with the robot,no
2024-10-03 17:47:49,2024-10-03 17:51:53,0,72.33.2.132,100,244,1,2024-10-03 17:51:54,R_60VqtHOMTEbsG0J,,,,,43.064,-89.3965,anonymous,EN,,"Looks old, slow to make decisions in movements between each actions (incompetent)",Don't understand what its about. Does robot have same ability as human? Not sure,Fine. ITs the future of the industry so humans will have to collaborate with them,Slow,Robot,Guessed. Not sure what test was about. best guess,IF the robot is as capable as humans in some tests,no
2024-10-04 13:03:58,2024-10-04 13:06:54,0,72.33.2.132,100,175,1,2024-10-04 13:06:55,R_7OrUNSZd07sEMeW,,,,,43.064,-89.3965,anonymous,EN,,It was interesting. Participant had never worked with a robot before.,Not sure what it was about. Maybe how a robot does a task and my perspective on that?,"Felt fine, seemed pretty normal and not sporadic.",Pretty slow,Robot,since the easy task was similar to what was done I trusted that and guessed on the other ones.,Participants thoughts on robots and how they work.,No
2024-10-04 17:10:55,2024-10-04 17:13:46,0,72.33.2.132,100,171,1,2024-10-04 17:13:46,R_6axWBakdHi0MTHa,,,,,43.064,-89.3965,anonymous,EN,,"like the robot, odung ets","confusing, interesting - on purpose vs pilot",comfortable - trust,different from part,speed difference,faith,synchrony trust,no
2024-10-18 15:21:04,2024-10-18 15:27:30,0,72.33.2.91,100,385,1,2024-10-18 15:27:31,R_7Jl3tZcpYMbsMLv,,,,,43.0812,-89.3845,anonymous,EN,100,"i don't thik i had much of an impression, it felt like part of a study no bad no good",it's hard to say it's a good experimetn and  task for synchrony and emotions computer didn't make much sense all the questions afterwards were talking about working on ateam and she didn't get that from the instructions felt like picking percentages without knowing why,"fine, didn't work with it much, not feeling positive or negative","hard to say, her mkovements were slow so robot was also proabaly slow","n/a, guess the robot","wasn't really sure or clear, don't know. didn't understand what she was choosing, just going with whatever she thought was best. didn't know what she was picking for or what the percentages were for and had to do with difficutly","how human interactionw with ai and robots, how taht can bring up emotions and how it influences perception of integrating them into society",not really
2024-11-05 17:34:50,2024-11-05 17:39:06,0,72.33.2.91,100,255,1,2024-11-05 17:39:07,R_3nJB9OAJKCMeInh,,,,,43.0812,-89.3845,anonymous,EN,23,i thought it was really cool,enjoyed it and would do another one like it. I think when the robot moved it helped me to move,I enjoyed it and think it definitely helped me even though it was doing different movement and was behind or ahead of me,different then mine,when i picked up the ball i would look down confirm picking up right ball but mainly focusing on the robot,"honestly i had no clue but since the task i did was easy and robot did a good job i said 100% for easy. for hard i was doing 100 but then it failed so i did lower, for medium i did in between but i really wasnt sure",seeing how much people trust robotic arms and how well a robotic arm can move,No
2024-11-08 17:37:39,2024-11-08 17:44:13,0,72.33.2.91,100,393,1,2024-11-08 17:44:14,R_6f7l5HF1bieZ8XL,,,,,43.0782,-89.4075,anonymous,EN,33,"I liked it. Coming into this im unfamiliar with robotic arms, so didnt know what to expect, overall it was chill. wasnt scared coming into it, saw it as another arm doing the motions too","it was good at expanding how users feel about robotic arms since a requirement was to be unfamiliar with it. ","it was good, advantageous that it helped my own pacing becaus i wanted to be faster with 321, i assumed the robot would span over the time appropriately so if it was wrong i wouldve had that automation bias. I would rely on it to do the same thing again and again",it felt comfortable. only could attribute feeling scare if it was moving fast or moving towards me because i wouldnt feel in control or like the robot was in control. thought it was good that we mirrored each other and the task was appropriate,focused on the robot because with the pacing i noticed if i was going faster than the robot,"honestly, the first round of questions was when i just thought of my experience, could i do that again and then i just repeated that whether it succeeded or failed didnt change my sense of trust in the arm, i was visualizing what the obstacle would look like, i thought maybe half the time it could do the hard obstacle and other half maybe not.",reliability and trust we have in technology and any blame we might attribute with failures in tech. gauging how people feel about robotic arms. ive never worked with one or knew about it prior to this study so looking at future implementation of the robot and user based feelings,no you guys made it really clear. im more wondering if i was supposed to have more thoughts going into this. don't have too many questions. feltbad that you had to sit here while i went through the survey
2024-11-12 18:13:52,2024-11-12 18:16:09,0,72.33.2.91,100,137,1,2024-11-12 18:16:09,R_5mhfoiOiwpGhy7T,,,,,43.0782,-89.4075,anonymous,EN,13,Liked it,Kind of cool how it was moving with her,"Scared that it wouldn't complete task, but when it did, she trusted it","A little delayed, but still completing task",Robot,Based on the sound,If robot arm can do things that a real arm can do,no
