"sub_id","game_1_e","game_2_m","game_3_h","game_4_e","game_5_m","game_6_h","game_7_e","game_8_m","game_9_h_success","game_10_e","game_11_m","game_12_h","game_13_e","game_14_m","game_15_h","game_16_e","game_17_m","game_18_h_fail","game_19_e","game_20_m","game_21_h","game_22_e","game_23_m","game_24_h","game_25_e","game_26_m","game_27_h","game_28_e","game_29_m","game_30_h","condition","trust_game_e_n","trust_game_m_n","trust_game_h_n","trust_game_e_s","trust_game_m_s","trust_game_h_s","trust_game_e_f","trust_game_m_f","trust_game_h_f","trust_game"
23,5,5,3,5,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,4,2,4,4,3,5,4,5,5,4,2,0,5,4.66666666666667,3.33333333333333,5,5,5,4.75,4,3,4.41666666666667
33,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,1,5,5,3,5,5,3,5,5,3,4.33333333333333
13,5,5,5,5,5,4,5,5,4,5,3,3,5,5,4,5,5,4,3,2,0,5,4,4,5,4,2,5,4,2,1,5,5,4.33333333333333,5,4.33333333333333,3.66666666666667,4.5,3.5,2,4.14814814814815
25,5,5,4,5,4,4,5,4,3,5,5,4,5,5,4,5,5,4,5,4,4,5,5,4,5,5,4,5,4,4,1,5,4.33333333333333,3.66666666666667,5,5,4,5,4.5,4,4.5
20,4,3,2,4,3,3,5,4,2,4,5,5,5,4,4,5,5,4,5,3,3,4,3,2,4,4,3,4,3,2,0,4.33333333333333,3.33333333333333,2.33333333333333,4.66666666666667,4.66666666666667,4.33333333333333,4.25,3.25,2.5,3.74074074074074
6,5,5,3,5,3,1,5,4,3,5,5,4,5,5,5,5,4,4,5,3,2,5,3,2,5,3,2,5,3,2,1,5,4,2.33333333333333,5,4.66666666666667,4.33333333333333,5,3,2,3.92592592592593
16,5,4,3,5,5,3,5,4,2,5,4,3,5,5,5,5,5,5,5,5,3,5,5,4,5,5,4,5,5,4,1,5,4.33333333333333,2.66666666666667,5,4.66666666666667,4.33333333333333,5,5,3.75,4.41666666666667
10,5,4,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,4,5,3,3,5,4,2,5,4,3,5,4,3,0,5,4.66666666666667,4,5,5,4.33333333333333,5,3.75,2.75,4.38888888888889
40,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,0,5,4,3,5,4,3,5,4,3,4
11,5,4,4,5,4,3,4,3,2,5,3,4,4,1,4,5,4,3,4,2,3,4,4,2,5,3,3,4,3,3,0,4.66666666666667,3.66666666666667,3,4.66666666666667,2.66666666666667,3.66666666666667,4.25,3,2.75,3.59259259259259
15,5,4,2,5,4,2,5,4,2,5,5,4,5,5,4,5,5,0,5,5,2,5,5,0,5,4,2,5,5,4,0,5,4,2,5,5,2.66666666666667,5,4.75,2,3.93518518518519
38,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4,1,5,5,4,5,5,5,5,5,4,4.77777777777778
35,5,4,2,5,4,3,5,4,3,5,4,3,5,4,3,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,1,5,4,2.66666666666667,4.66666666666667,3.66666666666667,2.66666666666667,4,3,2,3.51851851851852
1,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,1,5,5,4,5,5,4,5,5,4,4.66666666666667
32,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,5,5,4,4,5,4,4,5,4,4,1,5,4,4,5,4,4,5,4,4.25,4.36111111111111
37,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,3,4,4,2,3,4,1,3,2,1,5,5,1,0,5,5,5,4.33333333333333,3.66666666666667,3.66666666666667,3.75,3.75,1.25,3.93518518518519
36,5,4,3,5,4,4,5,5,4,5,5,3,5,4,5,4,4,4,5,4,3,5,4,4,5,5,4,4,3,3,0,5,4.33333333333333,3.66666666666667,4.66666666666667,4.33333333333333,4,4.75,4,3.5,4.25
43,5,3,3,4,3,2,3,4,1,5,3,2,5,3,0,4,2,5,5,3,2,4,4,2,5,5,5,3,2,0,0,4,3.33333333333333,2,4.66666666666667,2.66666666666667,2.33333333333333,4.25,3.5,2.25,3.22222222222222
39,5,4,4,5,4,3,5,4,4,4,3,2,5,4,4,5,4,3,5,4,4,5,2,4,5,4,4,5,4,4,1,5,4,3.66666666666667,4.66666666666667,3.66666666666667,3,5,3.5,4,4.05555555555556
18,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,0,5,5,4,5,5,4,5,5,4,4.66666666666667
7,5,4,3,5,4,2,5,4,2,5,3,3,5,4,3,5,4,2,5,3,3,5,4,4,5,5,4,5,4,3,1,5,4,2.33333333333333,5,3.66666666666667,2.66666666666667,5,4,3.5,3.90740740740741
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,4,4
42,5,3,1,5,3,1,5,4,1,5,5,2,5,3,2,5,4,2,5,5,2,5,3,1,4,4,1,4,3,1,1,5,3.33333333333333,1,5,4,2,4.5,3.75,1.25,3.31481481481481
4,4,3,1,5,3,1,5,4,1,5,4,2,5,4,3,5,5,3,5,5,2,5,5,2,5,5,2,5,5,2,0,4.66666666666667,3.33333333333333,1,5,4.33333333333333,2.66666666666667,5,5,2,3.66666666666667
60,5,4,3,5,4,2,5,4,2,5,4,4,5,3,4,5,3,2,4,2,3,5,4,3,5,5,1,4,4,1,1,5,4,2.33333333333333,5,3.33333333333333,3.33333333333333,4.5,3.75,2,3.69444444444444
45,5,4,3,5,4,4,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,0,5,4,3.33333333333333,5,4,3,5,4,3,4.03703703703704
46,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5
58,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,1,5,5,5,5,5,5,5,5,4.25,4.91666666666667
55,5,4,2,5,4,2,5,4,3,5,4,3,5,4,3,5,4,3,4,4,2,4,3,2,4,3,2,4,3,2,0,5,4,2.33333333333333,5,4,3,4,3.25,2,3.62037037037037
